"","Region1_Release","Region2_Release","Region3_Release","Region4_Release","Region5_Release","Region6_Release"
"1",NA,0,0,0,0,0
"2",1.58730158730159,NA,0.54945054945055,0,0,0
"3",2.38095238095238,5.39894887720975,NA,0,0,0
"4",0.0610500610500611,0,0,NA,0.0323206205559146,1.36884021901444
"5",0,0,0,0,NA,0.0165920026547204
"6",0,0,0,2.60334903192046,4.31480284421461,NA
