ArrivalLocation,Region1_Release,Region2_Release,Region3_Release,Region4_Release,Region5_Release,Region6_Release
Region1,NaN,0,0,0,0,0
Region2,0.854700854700855,NaN,6.47773279352227,0,0,0
Region3,3.41880341880342,0,NaN,0,0,0
Region4,0,0,0,NaN,0,5.80720092915215
Region5,0,0,0,0,NaN,0
Region6,0,0,0,0,0.452488687782805,NaN
