ArrivalLocation,Region1_Release,Region2_Release,Region3_Release,Region4_Release,Region5_Release,Region6_Release
Region1,NaN,0,0,0,0,0
Region2,0,NaN,0,0,0,0
Region3,0,1.00334448160535,NaN,0,0,0
Region4,0,0,0,NaN,0,0
Region5,0,0,0.404858299595142,0,NaN,0
Region6,0,0,0,0.549450549450549,0,NaN
