ArrivalLocation,Region1_Release,Region2_Release,Region3_Release,Region4_Release,Region5_Release,Region6_Release
Region1,NaN,0,1.21457489878543,0,0,0
Region2,0,NaN,40.8906882591093,0,0,0
Region3,6.83760683760684,0,NaN,0,0,0
Region4,0,0,17.4089068825911,NaN,0,0
Region5,0,0,0,0,NaN,0
Region6,0,0,0,1.28205128205128,0,NaN
