72.2,-7.6,-0.2
72.2,-7.55,-0.2
72.2,-7.5,-0.2
72.2,-7.45,-0.2
72.2,-7.4,-0.2
72.2,-7.35,-0.2
72.2,-7.3,-0.2
72.2,-7.25,-0.2
72.2,-7.2,-0.2
72.2,-7.15,-0.2
72.2,-7.1,-0.2
72.2,-7.05,-0.2
72.2,-7,-0.2
72.25,-7.6,-0.2
72.25,-7.55,-0.2
72.25,-7.5,-0.2
72.25,-7.45,-0.2
72.25,-7.4,-0.2
72.25,-7.35,-0.2
72.25,-7.3,-0.2
72.25,-7.25,-0.2
72.25,-7.2,-0.2
72.25,-7.15,-0.2
72.25,-7.1,-0.2
72.25,-7.05,-0.2
72.25,-7,-0.2
72.3,-7.6,-0.2
72.3,-7.55,-0.2
72.3,-7.5,-0.2
72.3,-7.45,-0.2
72.3,-7.4,-0.2
72.3,-7.35,-0.2
72.3,-7.3,-0.2
72.3,-7.25,-0.2
72.3,-7.2,-0.2
72.3,-7.15,-0.2
72.3,-7.1,-0.2
72.3,-7.05,-0.2
72.3,-7,-0.2
72.35,-7.6,-0.2
72.35,-7.55,-0.2
72.35,-7.5,-0.2
72.35,-7.45,-0.2
72.35,-7.4,-0.2
72.35,-7.35,-0.2
72.35,-7.3,-0.2
72.35,-7.25,-0.2
72.35,-7.2,-0.2
72.35,-7.15,-0.2
72.35,-7.1,-0.2
72.35,-7.05,-0.2
72.35,-7,-0.2
72.4,-7.6,-0.2
72.4,-7.55,-0.2
72.4,-7.5,-0.2
72.4,-7.45,-0.2
72.4,-7.4,-0.2
72.4,-7.35,-0.2
72.4,-7.3,-0.2
72.4,-7.25,-0.2
72.4,-7.2,-0.2
72.4,-7.15,-0.2
72.4,-7.1,-0.2
72.4,-7.05,-0.2
72.4,-7,-0.2
72.45,-7.6,-0.2
72.45,-7.55,-0.2
72.45,-7.5,-0.2
72.45,-7.45,-0.2
72.45,-7.4,-0.2
72.45,-7.35,-0.2
72.45,-7.3,-0.2
72.45,-7.25,-0.2
72.45,-7.2,-0.2
72.45,-7.15,-0.2
72.45,-7.1,-0.2
72.45,-7.05,-0.2
72.45,-7,-0.2
72.5,-7.6,-0.2
72.5,-7.55,-0.2
72.5,-7.5,-0.2
72.5,-7.45,-0.2
72.5,-7.4,-0.2
72.5,-7.35,-0.2
72.5,-7.3,-0.2
72.5,-7.25,-0.2
72.5,-7.2,-0.2
72.5,-7.15,-0.2
72.5,-7.1,-0.2
72.5,-7.05,-0.2
72.5,-7,-0.2
72.55,-7.6,-0.2
72.55,-7.55,-0.2
72.55,-7.5,-0.2
72.55,-7.45,-0.2
72.55,-7.4,-0.2
72.55,-7.35,-0.2
72.55,-7.3,-0.2
72.55,-7.25,-0.2
72.55,-7.2,-0.2
72.55,-7.15,-0.2
72.55,-7.1,-0.2
72.55,-7.05,-0.2
72.55,-7,-0.2
72.6,-7.6,-0.2
72.6,-7.55,-0.2
72.6,-7.5,-0.2
72.6,-7.45,-0.2
72.6,-7.4,-0.2
72.6,-7.35,-0.2
72.6,-7.3,-0.2
72.6,-7.25,-0.2
72.6,-7.2,-0.2
72.6,-7.15,-0.2
72.6,-7.1,-0.2
72.6,-7.05,-0.2
72.6,-7,-0.2
71.4,-5.6,-0.2
71.4,-5.55,-0.2
71.4,-5.5,-0.2
71.4,-5.45,-0.2
71.4,-5.4,-0.2
71.4,-5.35,-0.2
71.4,-5.3,-0.2
71.4,-5.25,-0.2
71.4,-5.2,-0.2
71.4,-5.15,-0.2
71.4,-5.1,-0.2
71.4,-5.05,-0.2
71.4,-5,-0.2
71.45,-5.6,-0.2
71.45,-5.55,-0.2
71.45,-5.5,-0.2
71.45,-5.45,-0.2
71.45,-5.4,-0.2
71.45,-5.35,-0.2
71.45,-5.3,-0.2
71.45,-5.25,-0.2
71.45,-5.2,-0.2
71.45,-5.15,-0.2
71.45,-5.1,-0.2
71.45,-5.05,-0.2
71.45,-5,-0.2
71.5,-5.6,-0.2
71.5,-5.55,-0.2
71.5,-5.5,-0.2
71.5,-5.45,-0.2
71.5,-5.4,-0.2
71.5,-5.35,-0.2
71.5,-5.3,-0.2
71.5,-5.25,-0.2
71.5,-5.2,-0.2
71.5,-5.15,-0.2
71.5,-5.1,-0.2
71.5,-5.05,-0.2
71.5,-5,-0.2
71.55,-5.6,-0.2
71.55,-5.55,-0.2
71.55,-5.5,-0.2
71.55,-5.45,-0.2
71.55,-5.4,-0.2
71.55,-5.35,-0.2
71.55,-5.3,-0.2
71.55,-5.25,-0.2
71.55,-5.2,-0.2
71.55,-5.15,-0.2
71.55,-5.1,-0.2
71.55,-5.05,-0.2
71.55,-5,-0.2
71.6,-5.6,-0.2
71.6,-5.55,-0.2
71.6,-5.5,-0.2
71.6,-5.45,-0.2
71.6,-5.4,-0.2
71.6,-5.35,-0.2
71.6,-5.3,-0.2
71.6,-5.25,-0.2
71.6,-5.2,-0.2
71.6,-5.15,-0.2
71.6,-5.1,-0.2
71.6,-5.05,-0.2
71.6,-5,-0.2
71.65,-5.6,-0.2
71.65,-5.55,-0.2
71.65,-5.5,-0.2
71.65,-5.45,-0.2
71.65,-5.4,-0.2
71.65,-5.35,-0.2
71.65,-5.3,-0.2
71.65,-5.25,-0.2
71.65,-5.2,-0.2
71.65,-5.15,-0.2
71.65,-5.1,-0.2
71.65,-5.05,-0.2
71.65,-5,-0.2
71.7,-5.6,-0.2
71.7,-5.55,-0.2
71.7,-5.5,-0.2
71.7,-5.45,-0.2
71.7,-5.4,-0.2
71.7,-5.35,-0.2
71.7,-5.3,-0.2
71.7,-5.25,-0.2
71.7,-5.2,-0.2
71.7,-5.15,-0.2
71.7,-5.1,-0.2
71.7,-5.05,-0.2
71.7,-5,-0.2
71.75,-5.6,-0.2
71.75,-5.55,-0.2
71.75,-5.5,-0.2
71.75,-5.45,-0.2
71.75,-5.4,-0.2
71.75,-5.35,-0.2
71.75,-5.3,-0.2
71.75,-5.25,-0.2
71.75,-5.2,-0.2
71.75,-5.15,-0.2
71.75,-5.1,-0.2
71.75,-5.05,-0.2
71.75,-5,-0.2
71.8,-5.6,-0.2
71.8,-5.55,-0.2
71.8,-5.5,-0.2
71.8,-5.45,-0.2
71.8,-5.4,-0.2
71.8,-5.35,-0.2
71.8,-5.3,-0.2
71.8,-5.25,-0.2
71.8,-5.2,-0.2
71.8,-5.15,-0.2
71.8,-5.1,-0.2
71.8,-5.05,-0.2
71.8,-5,-0.2
71.85,-5.6,-0.2
71.85,-5.55,-0.2
71.85,-5.5,-0.2
71.85,-5.45,-0.2
71.85,-5.4,-0.2
71.85,-5.35,-0.2
71.85,-5.3,-0.2
71.85,-5.25,-0.2
71.85,-5.2,-0.2
71.85,-5.15,-0.2
71.85,-5.1,-0.2
71.85,-5.05,-0.2
71.85,-5,-0.2
71.9,-5.6,-0.2
71.9,-5.55,-0.2
71.9,-5.5,-0.2
71.9,-5.45,-0.2
71.9,-5.4,-0.2
71.9,-5.35,-0.2
71.9,-5.3,-0.2
71.9,-5.25,-0.2
71.9,-5.2,-0.2
71.9,-5.15,-0.2
71.9,-5.1,-0.2
71.9,-5.05,-0.2
71.9,-5,-0.2
71.95,-5.6,-0.2
71.95,-5.55,-0.2
71.95,-5.5,-0.2
71.95,-5.45,-0.2
71.95,-5.4,-0.2
71.95,-5.35,-0.2
71.95,-5.3,-0.2
71.95,-5.25,-0.2
71.95,-5.2,-0.2
71.95,-5.15,-0.2
71.95,-5.1,-0.2
71.95,-5.05,-0.2
71.95,-5,-0.2
72,-5.6,-0.2
72,-5.55,-0.2
72,-5.5,-0.2
72,-5.45,-0.2
72,-5.4,-0.2
72,-5.35,-0.2
72,-5.3,-0.2
72,-5.25,-0.2
72,-5.2,-0.2
72,-5.15,-0.2
72,-5.1,-0.2
72,-5.05,-0.2
72,-5,-0.2
72.05,-5.6,-0.2
72.05,-5.55,-0.2
72.05,-5.5,-0.2
72.05,-5.45,-0.2
72.05,-5.4,-0.2
72.05,-5.35,-0.2
72.05,-5.3,-0.2
72.05,-5.25,-0.2
72.05,-5.2,-0.2
72.05,-5.15,-0.2
72.05,-5.1,-0.2
72.05,-5.05,-0.2
72.05,-5,-0.2
72.1,-5.6,-0.2
72.1,-5.55,-0.2
72.1,-5.5,-0.2
72.1,-5.45,-0.2
72.1,-5.4,-0.2
72.1,-5.35,-0.2
72.1,-5.3,-0.2
72.1,-5.25,-0.2
72.1,-5.2,-0.2
72.1,-5.15,-0.2
72.1,-5.1,-0.2
72.1,-5.05,-0.2
72.1,-5,-0.2
72.15,-5.6,-0.2
72.15,-5.55,-0.2
72.15,-5.5,-0.2
72.15,-5.45,-0.2
72.15,-5.4,-0.2
72.15,-5.35,-0.2
72.15,-5.3,-0.2
72.15,-5.25,-0.2
72.15,-5.2,-0.2
72.15,-5.15,-0.2
72.15,-5.1,-0.2
72.15,-5.05,-0.2
72.15,-5,-0.2
72.2,-5.6,-0.2
72.2,-5.55,-0.2
72.2,-5.5,-0.2
72.2,-5.45,-0.2
72.2,-5.4,-0.2
72.2,-5.35,-0.2
72.2,-5.3,-0.2
72.2,-5.25,-0.2
72.2,-5.2,-0.2
72.2,-5.15,-0.2
72.2,-5.1,-0.2
72.2,-5.05,-0.2
72.2,-5,-0.2
72.25,-5.6,-0.2
72.25,-5.55,-0.2
72.25,-5.5,-0.2
72.25,-5.45,-0.2
72.25,-5.4,-0.2
72.25,-5.35,-0.2
72.25,-5.3,-0.2
72.25,-5.25,-0.2
72.25,-5.2,-0.2
72.25,-5.15,-0.2
72.25,-5.1,-0.2
72.25,-5.05,-0.2
72.25,-5,-0.2
72.3,-5.6,-0.2
72.3,-5.55,-0.2
72.3,-5.5,-0.2
72.3,-5.45,-0.2
72.3,-5.4,-0.2
72.3,-5.35,-0.2
72.3,-5.3,-0.2
72.3,-5.25,-0.2
72.3,-5.2,-0.2
72.3,-5.15,-0.2
72.3,-5.1,-0.2
72.3,-5.05,-0.2
72.3,-5,-0.2
72.35,-5.6,-0.2
72.35,-5.55,-0.2
72.35,-5.5,-0.2
72.35,-5.45,-0.2
72.35,-5.4,-0.2
72.35,-5.35,-0.2
72.35,-5.3,-0.2
72.35,-5.25,-0.2
72.35,-5.2,-0.2
72.35,-5.15,-0.2
72.35,-5.1,-0.2
72.35,-5.05,-0.2
72.35,-5,-0.2
72.4,-5.6,-0.2
72.4,-5.55,-0.2
72.4,-5.5,-0.2
72.4,-5.45,-0.2
72.4,-5.4,-0.2
