Bioinforma	acropora	Species	Year	Date	Areas	Location	population	Site	label_plot	GPS_point_	GPS_poin_1	source_file	geometry
BFC18-223-T	Acropora	A.tenuis	2018	06/04/2018	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC18-246-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC18-257-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC18-258-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC18-259-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC18-260-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC18-261-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC18-262-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC18-263-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC18-265-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC18-266-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC18-269-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Ile de Passe	Ile de Passe	-5.29883	72.25517	population_Chagos northern atolls.shp	"c(72.25517, -5.29883)"
BFC18-270-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Ile de Passe	Ile de Passe	-5.29883	72.25517	population_Chagos northern atolls.shp	"c(72.25517, -5.29883)"
BFC18-273-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Ile de Passe	Ile de Passe	-5.29883	72.25517	population_Chagos northern atolls.shp	"c(72.25517, -5.29883)"
BFC18-279-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Ile de Passe	Ile de Passe	-5.29883	72.25517	population_Chagos northern atolls.shp	"c(72.25517, -5.29883)"
BFC18-283-T	Acropora	A.tenuis	2018	07/04/2018	Chagos	SA	Chagos northern atolls	Ile de Passe	Ile de Passe	-5.29883	72.25517	population_Chagos northern atolls.shp	"c(72.25517, -5.29883)"
BFC18-307-T	Acropora	A.tenuis	2018	09/04/2018	Chagos	GCB	Chagos northern atolls	Nelson seaward	Nelson seaward	-5.679483333	72.315	population_Chagos northern atolls.shp	"c(72.315, -5.679483333)"
BFC18-309-T	Acropora	A.tenuis	2018	09/04/2018	Chagos	GCB	Chagos northern atolls	Nelson seaward	Nelson seaward	-5.679483333	72.315	population_Chagos northern atolls.shp	"c(72.315, -5.679483333)"
BFC19-016-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-018-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-024-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-025-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-026-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-027-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-029-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-030-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-034-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-041-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-042-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-043-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-045-T	Acropora	A.tenuis	2019	07/03/2019	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC19-051-T	Acropora	A.tenuis	2019	08/03/2019	Chagos	PB	Chagos northern atolls	Ile de Poule (outside)	Ile de Poule (outside)	-5.4063	71.74625	population_Chagos northern atolls.shp	"c(71.74625, -5.4063)"
BFC19-053-T	Acropora	A.tenuis	2019	08/03/2019	Chagos	PB	Chagos northern atolls	Ile de Poule (outside)	Ile de Poule (outside)	-5.4063	71.74625	population_Chagos northern atolls.shp	"c(71.74625, -5.4063)"
BFC19-054-T	Acropora	A.tenuis	2019	08/03/2019	Chagos	PB	Chagos northern atolls	Ile de Poule (outside)	Ile de Poule (outside)	-5.4063	71.74625	population_Chagos northern atolls.shp	"c(71.74625, -5.4063)"
BFC19-058-T	Acropora	A.tenuis	2019	08/03/2019	Chagos	PB	Chagos northern atolls	Ile de Poule (outside)	Ile de Poule (outside)	-5.4063	71.74625	population_Chagos northern atolls.shp	"c(71.74625, -5.4063)"
BFC19-059-T	Acropora	A.tenuis	2019	08/03/2019	Chagos	PB	Chagos northern atolls	Ile de Poule (outside)	Ile de Poule (outside)	-5.4063	71.74625	population_Chagos northern atolls.shp	"c(71.74625, -5.4063)"
BFC19-096-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-100-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
