ArrivalLocation,Region1_Release,Region2_Release,Region3_Release,Region4_Release,Region5_Release,Region6_Release
Region1,NaN,0.334448160535117,0,4.57875457875458,0,0
Region2,0,NaN,16.5991902834008,8.97435897435897,0,0
Region3,15.3846153846154,0,NaN,1.46520146520147,0,0
Region4,0,0,0,NaN,0,0
Region5,0,0,0,0,NaN,0
Region6,0,0,0,0,0,NaN
