Sample_ID,Species,Location,Year_collected,Date_collected,Country,Atoll,Site,GPS_point_1,GPS_point_2,geometry
AJB19-306-T,A. aff. tenuis,Seychelles Inner Islands,2019,29/01/2019,Seychelles,Aride,Aride,-4.214444,55.659444,"c(55.659444, -4.214444)"
AJB19-310-T,A. aff. tenuis,Seychelles Inner Islands,2019,29/01/2019,Seychelles,Aride,Aride,-4.214444,55.659444,"c(55.659444, -4.214444)"
AJB19-311-T,A. aff. tenuis,Seychelles Inner Islands,2019,29/01/2019,Seychelles,Aride,Aride,-4.214444,55.659444,"c(55.659444, -4.214444)"
AJB19-312-T,A. aff. tenuis,Seychelles Inner Islands,2019,29/01/2019,Seychelles,Aride,Aride,-4.214444,55.659444,"c(55.659444, -4.214444)"
AJB19-314-T,A. aff. tenuis,Seychelles Inner Islands,2019,29/01/2019,Seychelles,Aride,Aride,-4.214444,55.659444,"c(55.659444, -4.214444)"
AJB19-315-T,A. aff. tenuis,Seychelles Inner Islands,2019,29/01/2019,Seychelles,Aride,Aride,-4.214444,55.659444,"c(55.659444, -4.214444)"
AJB19-316-T,A. aff. tenuis,Seychelles Inner Islands,2019,29/01/2019,Seychelles,Aride,Aride,-4.214444,55.659444,"c(55.659444, -4.214444)"
AJB19-317-T,A. aff. tenuis,Seychelles Inner Islands,2019,29/01/2019,Seychelles,Aride,Aride,-4.214444,55.659444,"c(55.659444, -4.214444)"
AJB19-318-T,A. aff. tenuis,Seychelles Inner Islands,2019,29/01/2019,Seychelles,Aride,Aride,-4.214444,55.659444,"c(55.659444, -4.214444)"
AJB19-320-T,A. aff. tenuis,Seychelles Inner Islands,2019,29/01/2019,Seychelles,Aride,Aride,-4.214444,55.659444,"c(55.659444, -4.214444)"
AJB19-324-T,A. aff. tenuis,Seychelles Inner Islands,2019,13/04/2019,Seychelles,Fregate,Fregate,-4.579722,55.934167,"c(55.934167, -4.579722)"
AJB19-325-T,A. aff. tenuis,Seychelles Inner Islands,2019,13/04/2019,Seychelles,Fregate,Fregate,-4.579722,55.934167,"c(55.934167, -4.579722)"
AJB19-326-T,A. aff. tenuis,Seychelles Inner Islands,2019,13/04/2019,Seychelles,Fregate,Fregate,-4.579722,55.934167,"c(55.934167, -4.579722)"
AJB19-331-T,A. aff. tenuis,Seychelles Inner Islands,2019,13/04/2019,Seychelles,Fregate,Fregate,-4.579722,55.934167,"c(55.934167, -4.579722)"
AJB19-333-T,A. aff. tenuis,Seychelles Inner Islands,2019,13/04/2019,Seychelles,Fregate,Fregate,-4.579722,55.934167,"c(55.934167, -4.579722)"
AJB19-334-T,A. aff. tenuis,Seychelles Inner Islands,2019,13/04/2019,Seychelles,Fregate,Fregate,-4.579722,55.934167,"c(55.934167, -4.579722)"
AJB19-335-T,A. aff. tenuis,Seychelles Inner Islands,2019,13/04/2019,Seychelles,Fregate,Fregate,-4.579722,55.934167,"c(55.934167, -4.579722)"
AJB19-337-T,A. aff. tenuis,Seychelles Inner Islands,2019,13/04/2019,Seychelles,Fregate,Fregate,-4.579722,55.934167,"c(55.934167, -4.579722)"
AJB19-339-T,A. aff. tenuis,Seychelles Inner Islands,2019,13/04/2019,Seychelles,Fregate,Fregate,-4.579722,55.934167,"c(55.934167, -4.579722)"
AJB19-351-T,A. aff. tenuis,Seychelles Inner Islands,2019,13/04/2019,Seychelles,Fregate,Fregate,-4.579722,55.934167,"c(55.934167, -4.579722)"
AJB19-522-T,A. aff. tenuis,Seychelles Outer Islands,2019,19/12/2019,Seychelles,Astove,Astove,-10.073889,47.730278,"c(47.730278, -10.073889)"
AJB19-526-T,A. aff. tenuis,Seychelles Outer Islands,2019,19/12/2019,Seychelles,Astove,Astove,-10.073889,47.730278,"c(47.730278, -10.073889)"
AJB19-531-T,A. aff. tenuis,Seychelles Outer Islands,2019,19/12/2019,Seychelles,Astove,Astove,-10.073889,47.730278,"c(47.730278, -10.073889)"
BFC18-001-T,A. aff. tenuis,Diego Garcia,2018,29/03/2018,Chagos,Diego Garcia,Cannon Point,-7.25738,72.37257,"c(72.37257, -7.25738)"
BFC18-003-T,A. aff. tenuis,Diego Garcia,2018,29/03/2018,Chagos,Diego Garcia,Cannon Point,-7.25738,72.37257,"c(72.37257, -7.25738)"
BFC18-004-T,A. aff. tenuis,Diego Garcia,2018,29/03/2018,Chagos,Diego Garcia,Cannon Point,-7.25738,72.37257,"c(72.37257, -7.25738)"
BFC18-012-T,A. aff. tenuis,Diego Garcia,2018,29/03/2018,Chagos,Diego Garcia,Cannon Point,-7.25738,72.37257,"c(72.37257, -7.25738)"
BFC18-013-T,A. aff. tenuis,Diego Garcia,2018,29/03/2018,Chagos,Diego Garcia,Cannon Point,-7.25738,72.37257,"c(72.37257, -7.25738)"
BFC18-014-T,A. aff. tenuis,Diego Garcia,2018,30/03/2018,Chagos,Diego Garcia,Cannon Point,-7.25738,72.37257,"c(72.37257, -7.25738)"
BFC18-015-T,A. aff. tenuis,Diego Garcia,2018,29/03/2018,Chagos,Diego Garcia,Cannon Point,-7.25738,72.37257,"c(72.37257, -7.25738)"
BFC18-032-T,A. aff. tenuis,Diego Garcia,2018,29/03/2018,Chagos,Diego Garcia,Mid Island,-7.22617,72.40833,"c(72.40833, -7.22617)"
BFC18-033-T,A. aff. tenuis,Diego Garcia,2018,29/03/2018,Chagos,Diego Garcia,Mid Island,-7.22617,72.40833,"c(72.40833, -7.22617)"
