ArrivalLocation,Region1_Release,Region2_Release,Region3_Release,Region4_Release,Region5_Release,Region6_Release
Region1,NaN,0.334448160535117,1.61943319838057,0,0,0
Region2,14.5299145299145,NaN,48.582995951417,8.60805860805861,0,0
Region3,47.8632478632479,0,NaN,1.83150183150183,0,0
Region4,0,0,0,NaN,0,0
Region5,0,0,0,0,NaN,0
Region6,0,0,0,0,0,NaN
